Front,Back,Category,Difficulty,Lesson
"What keyword defines a function in Python?","def","Syntax","Easy","Lesson 014 - Functions"
"What is a function?","A reusable named block of code.","Concept","Easy","Lesson 014 - Functions"
"What does a function call do?","It runs the code inside the function.","Concept","Easy","Lesson 014 - Functions"
"What syntax calls a function named show_message?","show_message()","Syntax","Easy","Lesson 014 - Functions"
"Does a function body run when the function is defined?","No. It runs only when the function is called.","Technical Rule","Easy","Lesson 014 - Functions"
"What must the function body use?","Indentation.","Syntax","Easy","Lesson 014 - Functions"
"What is a parameter?","A placeholder variable in a function definition.","Concept","Easy","Lesson 014 - Functions"
"What is an argument?","The actual value passed into a function call.","Concept","Easy","Lesson 014 - Functions"
"In def greet_reader(name): what is name?","A parameter.","Code Reading","Easy","Lesson 014 - Functions"
"In greet_reader(""Anthony"") what is ""Anthony""?","An argument.","Code Reading","Easy","Lesson 014 - Functions"
"What is the simple rule for parameter vs argument?","Parameter means placeholder. Argument means actual value.","Concept","Easy","Lesson 014 - Functions"
"What does return do in a function?","It sends a value back to where the function was called.","Concept","Medium","Lesson 014 - Functions"
"What does print do in a function?","It displays output in the terminal.","Concept","Easy","Lesson 014 - Functions"
"When should a function use return?","When the program needs to use the produced value later.","Practical Pattern","Medium","Lesson 014 - Functions"
"When is print enough inside a function?","When the function only needs to display something.","Practical Pattern","Easy","Lesson 014 - Functions"
"What is wrong with calling a function without parentheses?","The function is referenced but not run.","Common Error","Easy","Lesson 014 - Functions"
"What is wrong with an unindented function body?","Python does not know which code belongs to the function.","Common Error","Easy","Lesson 014 - Functions"
"What is a good function name usually based on?","The action the function performs.","Practical Pattern","Easy","Lesson 014 - Functions"
"Why are functions useful?","They organize code and reduce repetition.","Concept","Easy","Lesson 014 - Functions"
"Why is changing repeated logic easier with a function?","The logic can be changed in one place and reused everywhere it is called.","Concept","Medium","Lesson 014 - Functions"
"What does def greet_reader(name): start?","A function definition with one parameter.","Code Reading","Easy","Lesson 014 - Functions"
"What does name.strip().title() produce?","A cleaned title-cased version of name.","Code Reading","Easy","Lesson 014 - Functions"
"What should a formatting function usually do with the formatted value?","Return it.","Practical Pattern","Medium","Lesson 014 - Functions"
"What should a display function usually do?","Print output for the user.","Practical Pattern","Easy","Lesson 014 - Functions"
"What is the mental model for a function?","A named action.","Concept","Easy","Lesson 014 - Functions"
